year,term,time,sales
8,2,2017-03-31,24065
8,2,2017-04-01,9579
8,2,2017-04-02,5255
8,2,2017-04-03,4901
8,2,2017-04-04,5576
8,2,2017-04-05,762
8,2,2017-04-06,6328
8,2,2017-04-07,1987
8,2,2017-04-08,1610
8,2,2017-04-09,1459
8,2,2017-04-10,721
8,2,2017-04-11,632
8,2,2017-04-12,505
8,2,2017-04-13,552
8,2,2017-04-14,538
8,2,2017-04-15,696
8,2,2017-04-16,827
8,2,2017-04-17,500
8,2,2017-04-18,411
8,2,2017-04-19,360
8,2,2017-04-20,503
8,2,2017-04-21,456
8,2,2017-04-22,712
8,2,2017-04-23,819
8,2,2017-04-24,477
8,2,2017-04-25,426
8,2,2017-04-26,447
8,2,2017-04-27,439
8,2,2017-04-28,478
8,2,2017-04-29,567
8,2,2017-04-30,488
8,2,2017-05-01,614
8,2,2017-05-02,477
8,2,2017-05-03,446
8,2,2017-05-04,454
8,2,2017-05-05,484
8,2,2017-05-06,781
8,2,2017-05-07,902
8,2,2017-05-08,568
8,2,2017-05-09,443
8,2,2017-05-10,442
8,2,2017-05-11,605
8,2,2017-05-12,812
8,2,2017-05-13,1349
8,2,2017-05-14,2197
8,2,2017-05-15,2975
8,2,2017-05-16,375
8,2,2017-05-17,351
8,2,2017-05-18,369
8,2,2017-05-19,315
8,2,2017-05-20,519
8,2,2017-05-21,659
8,2,2017-05-22,436
8,2,2017-05-23,376
8,2,2017-05-24,385
8,2,2017-05-25,406
8,2,2017-05-26,457
8,2,2017-05-27,393
8,2,2017-05-28,448
8,2,2017-05-29,488
8,2,2017-05-30,585
8,2,2017-05-31,457
8,2,2017-06-01,703
8,2,2017-06-02,619
8,2,2017-06-03,689
8,2,2017-06-04,743
8,2,2017-06-05,552
8,2,2017-06-06,505
8,2,2017-06-07,531
8,2,2017-06-08,454
8,2,2017-06-09,596
8,2,2017-06-10,807
8,2,2017-06-11,783
8,2,2017-06-12,598
8,2,2017-06-13,519
8,2,2017-06-14,494
8,2,2017-06-15,604
8,2,2017-06-16,565
8,2,2017-06-17,1164
8,2,2017-06-18,1188
8,2,2017-06-19,745
8,2,2017-06-20,659
8,2,2017-06-21,628
8,2,2017-06-22,678
8,2,2017-06-23,810
8,2,2017-06-24,1201
8,2,2017-06-25,1278
8,2,2017-06-26,1012
8,2,2017-06-27,1006
8,2,2017-06-28,1053
8,2,2017-06-29,1121
8,2,2017-06-30,1331
8,2,2017-07-01,1725
8,2,2017-07-02,1762
8,2,2017-07-03,1430
8,2,2017-07-04,1537
8,2,2017-07-05,1663
8,2,2017-07-06,1790
8,2,2017-07-07,1364
8,2,2017-07-08,1599
8,2,2017-07-09,1807
8,2,2017-07-10,1270
8,2,2017-07-11,1191
8,2,2017-07-12,1101
8,2,2017-07-13,1146
8,2,2017-07-14,1117
8,2,2017-07-15,1255
8,2,2017-07-16,1340
8,2,2017-07-17,1202
8,2,2017-07-18,1431
8,2,2017-07-19,1448
8,2,2017-07-20,1043
8,2,2017-07-21,918
8,2,2017-07-22,770
8,2,2017-07-23,908
8,2,2017-07-24,805
8,2,2017-07-25,684
8,2,2017-07-26,745
8,2,2017-07-27,795
8,2,2017-07-28,794
8,2,2017-07-29,949
8,2,2017-07-30,1051
8,2,2017-07-31,1178
8,2,2017-08-01,1367
8,2,2017-08-02,337
8,2,2017-08-03,195
8,2,2017-08-04,170
8,2,2017-08-05,181
8,2,2017-08-06,186
8,2,2017-08-07,153
8,2,2017-08-08,152
8,2,2017-08-09,110
8,2,2017-08-10,97
8,2,2017-08-11,92
8,2,2017-08-12,95
8,2,2017-08-13,106
8,2,2017-08-14,107
8,2,2017-08-17,1
